DATE,DAY_OF_WEEK,WEATHER_REGION_CD,MAXIMUM_FEELS_LIKE_TEMPERATURE,RAINFALL,SUNSHINE_TD,AVG_ICE_CREAM_PRICE,ICE_CREAM_SOLD
2022-03-27,0,1,15.40000000,0.20000000,12.10000000,2.704701951780,1498.0000
2022-03-27,0,10,12.70000000,0.00000000,10.60000000,2.704701951780,2285.0000
2022-03-27,0,11,15.10000000,0.00000000,10.20000000,2.704701951780,5509.0000
2022-03-27,0,12,10.70000000,0.00000000,5.30000000,2.704701951780,7776.0000
2022-03-27,0,13,13.10000000,0.00000000,8.60000000,2.704701951780,4903.0000
2022-03-27,0,14,12.40000000,0.00000000,2.00000000,2.704701951780,20122.0000
2022-03-27,0,2,15.70000000,0.00000000,11.50000000,2.704701951780,8390.0000
2022-03-27,0,3,14.90000000,0.00000000,8.20000000,2.704701951780,532.0000
2022-03-27,0,4,14.60000000,0.00000000,9.60000000,2.704701951780,1220.0000
2022-03-27,0,5,15.20000000,0.00000000,3.60000000,2.704701951780,9577.0000
2022-03-27,0,6,15.70000000,0.00000000,6.50000000,2.704701951780,7071.0000
2022-03-27,0,7,12.30000000,0.00000000,2.80000000,2.704701951780,3510.0000
2022-03-27,0,8,11.30000000,0.00000000,6.50000000,2.704701951780,5481.0000
2022-03-27,0,9,12.40000000,0.00000000,10.80000000,2.704701951780,9230.0000
2022-03-28,1,1,14.20000000,0.00000000,4.10000000,2.704701951780,901.0000
2022-03-28,1,10,13.60000000,0.00000000,2.40000000,2.704701951780,1865.0000
2022-03-28,1,11,14.30000000,0.00000000,1.00000000,2.704701951780,4065.0000
2022-03-28,1,12,14.30000000,0.00000000,2.30000000,2.704701951780,7593.0000
2022-03-28,1,13,15.30000000,0.00000000,3.50000000,2.704701951780,4186.0000
2022-03-28,1,14,15.90000000,0.00000000,5.30000000,2.704701951780,17076.0000
2022-03-28,1,2,16.70000000,0.00000000,8.80000000,2.704701951780,5571.0000
2022-03-28,1,3,12.60000000,0.00000000,0.00000000,2.704701951780,322.0000
2022-03-28,1,4,15.20000000,0.00000000,8.10000000,2.704701951780,1256.0000
2022-03-28,1,5,10.30000000,9.20000000,0.00000000,2.704701951780,6056.0000
2022-03-28,1,6,14.50000000,0.00000000,7.40000000,2.704701951780,6947.0000
2022-03-28,1,7,14.20000000,0.00000000,8.40000000,2.704701951780,3322.0000
2022-03-28,1,8,12.80000000,0.20000000,6.20000000,2.704701951780,5929.0000
2022-03-28,1,9,15.20000000,0.00000000,1.50000000,2.704701951780,10864.0000
2022-03-29,2,1,2.60000000,0.40000000,0.00000000,2.704701951780,749.0000
2022-03-29,2,10,10.60000000,0.40000000,0.00000000,2.704701951780,1753.0000
2022-03-29,2,11,10.80000000,1.40000000,0.00000000,2.704701951780,4134.0000
2022-03-29,2,12,10.10000000,1.80000000,0.70000000,2.704701951780,6582.0000
2022-03-29,2,13,11.80000000,2.20000000,0.00000000,2.704701951780,4093.0000
2022-03-29,2,14,9.50000000,0.20000000,0.10000000,2.704701951780,14925.0000
2022-03-29,2,2,10.50000000,0.20000000,0.70000000,2.704701951780,3698.0000
2022-03-29,2,3,12.30000000,3.20000000,3.90000000,2.704701951780,347.0000
2022-03-29,2,4,13.40000000,0.80000000,4.80000000,2.704701951780,1279.0000
2022-03-29,2,5,9.40000000,0.60000000,0.00000000,2.704701951780,5808.0000
2022-03-29,2,6,14.80000000,0.00000000,5.50000000,2.704701951780,6100.0000
2022-03-29,2,7,7.20000000,0.20000000,0.70000000,2.704701951780,2778.0000
2022-03-29,2,8,4.90000000,0.00000000,0.00000000,2.704701951780,5141.0000
2022-03-29,2,9,7.00000000,0.00000000,5.70000000,2.704701951780,8612.0000
2022-03-30,3,1,2.10000000,2.00000000,8.20000000,2.704701951780,722.0000
2022-03-30,3,10,4.00000000,1.80000000,0.00000000,2.704701951780,1797.0000
2022-03-30,3,11,11.30000000,2.00000000,4.80000000,2.704701951780,4399.0000
2022-03-30,3,12,6.10000000,0.20000000,0.00000000,2.704701951780,6880.0000
2022-03-30,3,13,11.50000000,3.20000000,0.50000000,2.704701951780,4260.0000
2022-03-30,3,14,8.90000000,0.20000000,1.20000000,2.704701951780,15032.0000
2022-03-30,3,2,4.50000000,0.20000000,7.20000000,2.704701951780,4139.0000
2022-03-30,3,3,-0.40000000,2.00000000,4.00000000,2.704701951780,381.0000
2022-03-30,3,4,3.00000000,0.20000000,3.00000000,2.704701951780,1150.0000
2022-03-30,3,5,0.50000000,4.00000000,0.00000000,2.704701951780,5954.0000
2022-03-30,3,6,4.00000000,3.60000000,0.00000000,2.704701951780,5458.0000
2022-03-30,3,7,2.90000000,1.40000000,0.00000000,2.704701951780,2487.0000
2022-03-30,3,8,8.30000000,1.40000000,0.00000000,2.704701951780,5411.0000
2022-03-30,3,9,6.50000000,1.00000000,0.00000000,2.704701951780,8098.0000
2022-03-31,4,1,1.80000000,3.40000000,4.80000000,2.704701951780,840.0000
2022-03-31,4,10,4.10000000,0.00000000,11.00000000,2.704701951780,2037.0000
2022-03-31,4,11,3.60000000,0.00000000,6.70000000,2.704701951780,4614.0000
2022-03-31,4,12,1.30000000,0.00000000,3.00000000,2.704701951780,7229.0000
2022-03-31,4,13,3.60000000,1.00000000,5.30000000,2.704701951780,4833.0000
2022-03-31,4,14,3.20000000,0.00000000,5.60000000,2.704701951780,14216.0000
2022-03-31,4,2,5.90000000,0.20000000,7.10000000,2.704701951780,4323.0000
2022-03-31,4,3,0.70000000,1.40000000,6.40000000,2.704701951780,433.0000
2022-03-31,4,4,5.30000000,0.00000000,10.50000000,2.704701951780,1429.0000
2022-03-31,4,5,0.30000000,4.20000000,4.70000000,2.704701951780,6222.0000
2022-03-31,4,6,2.90000000,1.20000000,5.70000000,2.704701951780,6243.0000
2022-03-31,4,7,1.70000000,2.00000000,6.20000000,2.704701951780,2844.0000
2022-03-31,4,8,0.70000000,1.20000000,6.10000000,2.704701951780,5850.0000
2022-03-31,4,9,0.70000000,1.20000000,0.00000000,2.704701951780,9157.0000
2022-04-01,5,1,5.50000000,1.00000000,3.00000000,2.569100725957,1060.0000
2022-04-01,5,10,6.50000000,0.00000000,9.00000000,2.569100725957,2295.0000
2022-04-01,5,11,5.30000000,0.00000000,9.10000000,2.569100725957,5609.0000
2022-04-01,5,12,3.30000000,0.00000000,7.10000000,2.569100725957,9336.0000
2022-04-01,5,13,4.10000000,0.00000000,4.80000000,2.569100725957,5650.0000
2022-04-01,5,14,5.50000000,0.00000000,8.90000000,2.569100725957,17866.0000
2022-04-01,5,2,5.40000000,0.00000000,8.00000000,2.569100725957,5494.0000
2022-04-01,5,3,5.30000000,0.20000000,9.00000000,2.569100725957,538.0000
2022-04-01,5,4,4.60000000,0.80000000,3.50000000,2.569100725957,1700.0000
2022-04-01,5,5,3.60000000,4.00000000,5.70000000,2.569100725957,7902.0000
2022-04-01,5,6,3.70000000,0.00000000,8.90000000,2.569100725957,7806.0000
2022-04-01,5,7,2.50000000,0.40000000,7.80000000,2.569100725957,3591.0000
2022-04-01,5,8,1.60000000,0.40000000,5.90000000,2.569100725957,7173.0000
2022-04-01,5,9,4.80000000,0.60000000,7.40000000,2.569100725957,11654.0000
2022-04-02,6,1,7.60000000,0.00000000,5.80000000,2.569100725957,1037.0000
2022-04-02,6,10,7.10000000,0.00000000,4.60000000,2.569100725957,2646.0000
2022-04-02,6,11,7.00000000,0.20000000,5.30000000,2.569100725957,5862.0000
2022-04-02,6,12,4.70000000,0.20000000,6.70000000,2.569100725957,10385.0000
2022-04-02,6,13,7.60000000,0.00000000,7.70000000,2.569100725957,6125.0000
2022-04-02,6,14,6.70000000,0.00000000,7.00000000,2.569100725957,21017.0000
2022-04-02,6,2,8.90000000,0.00000000,2.60000000,2.569100725957,5571.0000
2022-04-02,6,3,6.10000000,0.40000000,3.50000000,2.569100725957,534.0000
2022-04-02,6,4,7.80000000,2.20000000,8.00000000,2.569100725957,1965.0000
2022-04-02,6,5,5.70000000,0.00000000,8.40000000,2.569100725957,8591.0000
2022-04-02,6,6,8.80000000,0.00000000,5.60000000,2.569100725957,8000.0000
2022-04-02,6,7,5.30000000,0.60000000,7.30000000,2.569100725957,3821.0000
2022-04-02,6,8,5.30000000,0.20000000,11.00000000,2.569100725957,7793.0000
2022-04-02,6,9,5.50000000,0.20000000,6.70000000,2.569100725957,12787.0000
2022-04-03,0,1,5.70000000,3.00000000,0.50000000,2.569100725957,910.0000
2022-04-03,0,10,6.80000000,0.00000000,5.00000000,2.569100725957,1899.0000
